Iteracoes,Aproximacao_PI,PI_Real,Erro_Absoluto,Tempo_ms,Precisao,Digitos_Corretos
23600,3.1415502807,3.141592653589793,0.0000423729,0.000,100.00,4
23700,3.1415504595,3.141592653589793,0.0000421941,0.000,100.00,4
23800,3.1415506368,3.141592653589793,0.0000420168,0.000,100.00,4
23900,3.1415508126,3.141592653589793,0.0000418410,0.000,100.00,4
24000,3.1415509869,3.141592653589793,0.0000416667,0.000,100.00,4
24100,3.1415511598,3.141592653589793,0.0000414938,0.000,100.00,4
24200,3.1415513313,3.141592653589793,0.0000413223,0.000,100.00,4
24300,3.1415515013,3.141592653589793,0.0000411523,0.000,100.00,4
24400,3.1415516700,3.141592653589793,0.0000409836,0.000,100.00,4
24500,3.1415518373,3.141592653589793,0.0000408163,0.000,100.00,4
24600,3.1415520032,3.141592653589793,0.0000406504,0.000,100.00,4
24700,3.1415521678,3.141592653589793,0.0000404858,0.000,100.00,4
24800,3.1415523310,3.141592653589793,0.0000403226,0.000,100.00,4
24900,3.1415524929,3.141592653589793,0.0000401606,0.000,100.00,4
25000,3.1415526536,3.141592653589793,0.0000400000,0.000,100.00,4
25100,3.1415528130,3.141592653589793,0.0000398406,0.000,100.00,4
25200,3.1415529711,3.141592653589793,0.0000396825,0.000,100.00,4
25300,3.1415531279,3.141592653589793,0.0000395257,0.000,100.00,4
25400,3.1415532835,3.141592653589793,0.0000393701,0.000,100.00,4
25500,3.1415534379,3.141592653589793,0.0000392157,0.000,100.00,4
25600,3.1415535911,3.141592653589793,0.0000390625,0.000,100.00,4
25700,3.1415537431,3.141592653589793,0.0000389105,0.000,100.00,4
25800,3.1415538939,3.141592653589793,0.0000387597,0.000,100.00,4
25900,3.1415540436,3.141592653589793,0.0000386100,0.000,100.00,4
26000,3.1415541921,3.141592653589793,0.0000384615,0.000,100.00,4
26100,3.1415543394,3.141592653589793,0.0000383142,0.000,100.00,4
26200,3.1415544857,3.141592653589793,0.0000381679,0.000,100.00,4
26300,3.1415546308,3.141592653589793,0.0000380228,0.000,100.00,4
26400,3.1415547748,3.141592653589793,0.0000378788,0.000,100.00,4
26500,3.1415549177,3.141592653589793,0.0000377358,0.000,100.00,4
26600,3.1415550596,3.141592653589793,0.0000375940,0.000,100.00,4
26700,3.1415552004,3.141592653589793,0.0000374532,0.000,100.00,4
26800,3.1415553402,3.141592653589793,0.0000373134,0.000,100.00,4
26900,3.1415554789,3.141592653589793,0.0000371747,0.000,100.00,4
27000,3.1415556166,3.141592653589793,0.0000370370,0.000,100.00,4
27100,3.1415557532,3.141592653589793,0.0000369004,0.000,100.00,4
27200,3.1415558889,3.141592653589793,0.0000367647,0.000,100.00,4
27300,3.1415560236,3.141592653589793,0.0000366300,0.000,100.00,4
27400,3.1415561572,3.141592653589793,0.0000364964,0.000,100.00,4
27500,3.1415562900,3.141592653589793,0.0000363636,0.000,100.00,4
27600,3.1415564217,3.141592653589793,0.0000362319,0.000,100.00,4
27700,3.1415565525,3.141592653589793,0.0000361011,0.000,100.00,4
27800,3.1415566824,3.141592653589793,0.0000359712,0.000,100.00,4
27900,3.1415568113,3.141592653589793,0.0000358423,0.000,100.00,4
28000,3.1415569393,3.141592653589793,0.0000357143,0.000,100.00,4
28100,3.1415570664,3.141592653589793,0.0000355872,0.000,100.00,4
28200,3.1415571926,3.141592653589793,0.0000354610,0.000,100.00,4
28300,3.1415573179,3.141592653589793,0.0000353357,0.000,100.00,4
28400,3.1415574423,3.141592653589793,0.0000352113,0.000,100.00,4
28500,3.1415575659,3.141592653589793,0.0000350877,0.000,100.00,4
28600,3.1415576886,3.141592653589793,0.0000349650,0.000,100.00,4
28700,3.1415578104,3.141592653589793,0.0000348432,0.000,100.00,4
28800,3.1415579314,3.141592653589793,0.0000347222,0.000,100.00,4
28900,3.1415580515,3.141592653589793,0.0000346021,0.000,100.00,4
29000,3.1415581708,3.141592653589793,0.0000344828,0.000,100.00,4
29100,3.1415582893,3.141592653589793,0.0000343643,0.000,100.00,4
29200,3.1415584070,3.141592653589793,0.0000342466,0.000,100.00,4
29300,3.1415585239,3.141592653589793,0.0000341297,0.000,100.00,4
29400,3.1415586400,3.141592653589793,0.0000340136,0.000,100.00,4
29500,3.1415587553,3.141592653589793,0.0000338983,0.000,100.00,4
29600,3.1415588698,3.141592653589793,0.0000337838,0.000,100.00,4
29700,3.1415589836,3.141592653589793,0.0000336700,0.000,100.00,4
29800,3.1415590965,3.141592653589793,0.0000335570,0.000,100.00,4
29900,3.1415592088,3.141592653589793,0.0000334448,0.000,100.00,4
30000,3.1415593203,3.141592653589793,0.0000333333,0.000,100.00,4
30100,3.1415594310,3.141592653589793,0.0000332226,0.000,100.00,4
30200,3.1415595410,3.141592653589793,0.0000331126,0.000,100.00,4
30300,3.1415596503,3.141592653589793,0.0000330033,0.000,100.00,4
30400,3.1415597589,3.141592653589793,0.0000328947,0.000,100.00,4
30500,3.1415598667,3.141592653589793,0.0000327869,0.000,100.00,4
30600,3.1415599739,3.141592653589793,0.0000326797,0.000,100.00,4
30700,3.1415600803,3.141592653589793,0.0000325733,0.000,100.00,4
30800,3.1415601861,3.141592653589793,0.0000324675,0.000,100.00,4
30900,3.1415602911,3.141592653589793,0.0000323625,0.000,100.00,4
31000,3.1415603955,3.141592653589793,0.0000322581,11.481,100.00,4
31100,3.1415604992,3.141592653589793,0.0000321543,0.000,100.00,4
31200,3.1415606023,3.141592653589793,0.0000320513,0.000,100.00,4
31300,3.1415607047,3.141592653589793,0.0000319489,0.000,100.00,4
31400,3.1415608065,3.141592653589793,0.0000318471,0.000,100.00,4
31500,3.1415609076,3.141592653589793,0.0000317460,0.000,100.00,4
31600,3.1415610080,3.141592653589793,0.0000316456,0.000,100.00,4
31700,3.1415611078,3.141592653589793,0.0000315457,0.000,100.00,4
31800,3.1415612070,3.141592653589793,0.0000314465,0.000,100.00,4
31900,3.1415613056,3.141592653589793,0.0000313480,1.226,100.00,4
32000,3.1415614036,3.141592653589793,0.0000312500,0.000,100.00,4
32100,3.1415615009,3.141592653589793,0.0000311526,0.000,100.00,4
32200,3.1415615977,3.141592653589793,0.0000310559,1.778,100.00,4
32300,3.1415616938,3.141592653589793,0.0000309598,0.000,100.00,4
32400,3.1415617894,3.141592653589793,0.0000308642,0.000,100.00,4
32500,3.1415618844,3.141592653589793,0.0000307692,0.000,100.00,4
32600,3.1415619787,3.141592653589793,0.0000306748,0.000,100.00,4
32700,3.1415620726,3.141592653589793,0.0000305810,0.000,100.00,4
32800,3.1415621658,3.141592653589793,0.0000304878,0.000,100.00,4
32900,3.1415622585,3.141592653589793,0.0000303951,0.000,100.00,4
33000,3.1415623506,3.141592653589793,0.0000303030,0.000,100.00,4
33100,3.1415624421,3.141592653589793,0.0000302115,0.000,100.00,4
33200,3.1415625331,3.141592653589793,0.0000301205,0.000,100.00,4
33300,3.1415626236,3.141592653589793,0.0000300300,0.000,100.00,4
33400,3.1415627135,3.141592653589793,0.0000299401,0.000,100.00,4
33500,3.1415628028,3.141592653589793,0.0000298507,0.000,100.00,4
33600,3.1415628917,3.141592653589793,0.0000297619,0.000,100.00,4
33700,3.1415629800,3.141592653589793,0.0000296736,0.000,100.00,4
33800,3.1415630678,3.141592653589793,0.0000295858,0.000,100.00,4
33900,3.1415631551,3.141592653589793,0.0000294985,0.000,100.00,4
34000,3.1415632418,3.141592653589793,0.0000294118,0.000,100.00,4
34100,3.1415633281,3.141592653589793,0.0000293255,0.000,100.00,4
34200,3.1415634138,3.141592653589793,0.0000292398,0.000,100.00,4
34300,3.1415634991,3.141592653589793,0.0000291545,0.000,100.00,4
34400,3.1415635838,3.141592653589793,0.0000290698,0.000,100.00,4
34500,3.1415636681,3.141592653589793,0.0000289855,0.000,100.00,4
34600,3.1415637519,3.141592653589793,0.0000289017,0.000,100.00,4
34700,3.1415638351,3.141592653589793,0.0000288184,0.000,100.00,4
34800,3.1415639180,3.141592653589793,0.0000287356,0.000,100.00,4
34900,3.1415640003,3.141592653589793,0.0000286533,0.000,100.00,4
35000,3.1415640822,3.141592653589793,0.0000285714,0.000,100.00,4
35100,3.1415641636,3.141592653589793,0.0000284900,10.002,100.00,4
35200,3.1415642445,3.141592653589793,0.0000284091,0.000,100.00,4
35300,3.1415643250,3.141592653589793,0.0000283286,0.000,100.00,4
35400,3.1415644050,3.141592653589793,0.0000282486,0.000,100.00,4
35500,3.1415644846,3.141592653589793,0.0000281690,0.000,100.00,4
